Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Label
0.00012483570765056164,9.308678494144077e-05,0.00013238442690503464,0.00017615149282040128,8.82923312638332e-05,8.829315215254098e-05,0.0001789606407753696,0.00013837173645764544,7.65262807032524e-05,0.00012712800217929825,7.682911535937688e-05,7.671351232148716e-05,0.00011209811357830171,4.335987767110108e-06,1.3754108374348359e-05,7.188562353795137e-05,4.935844398327881e-05,0.0001157123666297637,5.459879622393946e-05,0.0
2.9384814933235424e-05,0.0001732824384460777,8.871118497567322e-05,0.0001033764102343962,2.8762590689327156e-05,7.278086377374087e-05,0.00010554612948549331,4.2450321128884865e-05,0.0001187849009172836,6.996806550405976e-05,8.541531251033617e-05,6.991466938853016e-05,0.0001926139092254469,9.93251387631033e-05,4.7114453552204986e-05,0.00014112724560515945,3.8957817501448887e-05,0.00011044317975023778,2.0164938060112205e-06,0.0
3.359069755507847e-05,0.00010984306179345619,0.00013692332899977052,0.00010856841405949853,9.421758588058798e-05,8.494481522053556e-05,2.6073900481628627e-05,6.400778958026457e-05,7.696806145201062e-05,0.0001528561113109458,0.00011718091447842308,1.1847992231863306e-05,0.00011620419846973976,8.074588597918418e-05,6.615389998470207e-05,0.0001305838144420434,0.00015154997612479756,0.00014656400595580994,5.803912383886808e-05,0.0
8.453938120743927e-05,0.0001165631715701782,0.00014877725635611798,7.60412881077355e-05,9.071705116680914e-05,4.468325129969859e-05,4.018966879596646e-05,0.00014062629111970991,0.00016781200142854114,9.63994939209833e-05,0.00015017664489460123,0.00011808180125238171,6.77440122697438e-05,0.0001180697802754207,0.00017690182832329847,9.820869804450243e-05,0.00017823218279070034,-3.098725520448723e-05,0.00014109512521876119,0.0
0.00010435235341190856,8.504963247670663e-05,0.00010458803882677512,6.215542699553652e-07,8.90164056081244e-05,0.00011785562857558732,0.0001738947022370758,7.408648908631764e-05,5.957531985534062e-05,7.491214782077318e-05,0.00014577010588510373,0.00011643755548298423,7.351198981164807e-05,0.0001256633716556678,0.00010485387746740202,0.00014843224952664446,6.489734530613239e-05,8.36168926701116e-05,8.039459234339213e-05,0.0
2.6824252593394076e-05,0.00011480601385322881,0.00011305276360899446,0.00010025567283212305,8.827064333124266e-05,2.923146289747929e-05,7.896773386173205e-05,8.286427417366153e-05,5.9886136538919055e-05,9.193571441669955e-05,0.00012020254284072693,0.0001943092950605265,0.00010872889064159195,0.00011287751953613823,9.627770421169165e-05,4.061439235047924e-06,9.867430622753916e-05,0.00010301151049705132,0.00022316210562426433,0.0
9.038195176094388e-05,0.00011507736711668062,9.826441151473783e-05,4.15660981190234e-05,0.00015714114072575103,0.00013759665163433872,0.00013955159735215235,5.453062726026305e-05,0.00017013971554680497,2.9907446860385958e-05,0.00012934285469001352,0.00020952278129049895,5.047318374346559e-05,7.168511351986141e-05,0.00010498256825438207,7.482621729419004e-05,2.2466828446693365e-05,0.00010342814874030137,4.6884814313694756e-05,0.0
0.00012367962153175908,5.402878828830984e-05,0.00017749672025087698,6.083733538318815e-05,8.389692418971622e-05,0.0001406758608684835,3.8456784178302235e-05,0.00011137299673020647,0.0001653571377141214,1.962583827193863e-05,0.00010923169292661521,0.00011299413971242118,0.00013909114358886553,3.815246445609591e-05,3.397716934578619e-05,0.0001260970782808449,0.00011484923366165931,0.00011252464251729383,0.00011732241047484879,0.0
6.599876392107546e-05,0.00011161268485805018,0.00011465362366493407,6.428242909868161e-05,0.00019328872555723784,0.00012369164604558939,4.043482513986757e-05,0.00013282768043169148,5.126591648863393e-05,0.0001393542301871226,0.0001579297789503702,5.8965884082414476e-05,0.0001481688064622161,0.00012063904634682492,0.0001411030079997245,0.0001948396491326974,8.773059419985648e-05,6.231319178212552e-05,5.552427851872384e-05,0.0
5.920948575172809e-05,9.614491452929479e-05,0.0001170575987408322,0.00011383453996650096,0.0001413591624518012,0.00010065009459389536,0.00017267670385786584,8.67671583381022e-05,0.00023600845832948093,0.00013128336738825033,5.714212217918587e-05,4.6455375096944385e-05,0.00012412362076215928,8.882686073370746e-05,0.00013570002470460462,0.00012366188122867725,9.635855436715636e-05,5.766031409657975e-05,2.4257638765706773e-05,0.0
